time_s,vx_est,vy_est,vz_est,vx_gt,vy_gt,vz_gt,err_vx,err_vy,err_vz,speed_est,speed_gt,speed_err
0.1000,2.36986,-3.13713,0.04165,2.44879,-2.98310,0.09155,-0.07893,-0.15403,-0.04991,3.93186,3.86055,0.07132
0.2000,2.31992,-3.36071,0.36049,2.38194,-3.05830,0.11139,-0.06201,-0.30241,0.24909,4.09956,3.87805,0.22151
0.3000,2.46077,-3.31625,0.18015,2.44683,-3.13063,0.08850,0.01395,-0.18562,0.09165,4.13344,3.97438,0.15907
0.4000,2.51345,-3.23159,0.18487,2.47243,-3.07367,0.11297,0.04103,-0.15792,0.07190,4.09815,3.94628,0.15187
0.5000,2.49654,-3.10130,0.18551,2.45220,-3.06705,0.06750,0.04434,-0.03425,0.11801,3.98563,3.92742,0.05821
0.6000,2.67209,-3.13607,0.09401,2.57163,-3.07567,0.13300,0.10046,-0.06040,-0.03899,4.12115,4.01132,0.10982
0.7000,2.77070,-3.06220,0.15778,2.71336,-2.86973,0.10520,0.05734,-0.19246,0.05258,4.13265,3.95079,0.18185
0.8000,2.82885,-2.92141,0.18710,2.77039,-2.81193,0.13070,0.05845,-0.10947,0.05640,4.07087,3.94957,0.12130
0.9000,2.83509,-3.00344,0.05649,2.79514,-2.84003,0.06252,0.03995,-0.16341,-0.00603,4.13057,3.98528,0.14528
1.0000,2.79968,-2.95221,0.12515,2.76007,-2.83488,0.06099,0.03961,-0.11733,0.06416,4.07056,3.95705,0.11351
1.1000,2.67441,-3.11276,0.11398,2.71677,-2.88367,0.05928,-0.04236,-0.22909,0.05470,4.10545,3.96231,0.14314
1.2000,2.71815,-3.13978,0.11605,2.65284,-2.94498,0.09545,0.06530,-0.19480,0.02060,4.15452,3.96480,0.18972
1.3000,2.59104,-3.16676,0.17750,2.59230,-2.99461,0.11611,-0.00126,-0.17216,0.06139,4.09553,3.96247,0.13306
1.4000,2.69252,-3.14451,0.19074,2.64739,-2.95399,0.14985,0.04514,-0.19052,0.04089,4.14415,3.96953,0.17462
1.5000,2.67929,-3.16873,0.15787,2.63055,-2.95667,0.10054,0.04874,-0.21207,0.05733,4.15264,3.95876,0.19388
1.6000,2.70526,-3.20122,0.02857,2.59634,-3.10498,0.04831,0.10892,-0.09625,-0.01975,4.19131,4.04774,0.14357
1.7000,2.63438,-3.18726,0.07413,2.65368,-2.97245,-0.01495,-0.01930,-0.21481,0.08908,4.13570,3.98468,0.15102
1.8000,2.73080,-3.19970,0.05411,2.71163,-2.99660,0.03694,0.01917,-0.20310,0.01717,4.20693,4.04152,0.16541
1.9000,2.73173,-3.22531,0.05562,2.69570,-3.03154,0.04288,0.03603,-0.19378,0.01274,4.22706,4.05695,0.17012
2.0000,2.83509,-3.24829,0.03861,2.76406,-3.03916,0.03781,0.07103,-0.20913,0.00080,4.31168,4.10827,0.20341
2.1000,2.75796,-3.24470,0.10220,2.72844,-3.05671,0.05287,0.02952,-0.18799,0.04933,4.25968,4.09764,0.16204
2.2000,2.77629,-3.23601,0.08280,2.76415,-3.02311,0.05454,0.01214,-0.21291,0.02826,4.26455,4.09667,0.16789
2.3000,2.69837,-3.23329,0.12402,2.72742,-3.04730,0.04467,-0.02904,-0.18599,0.07935,4.21317,4.08985,0.12332
2.4000,2.76537,-3.34114,0.02700,2.69617,-3.10709,0.00912,0.06919,-0.23406,0.01788,4.33719,4.11381,0.22338
2.5000,2.73702,-3.35668,0.03844,2.75375,-3.13595,0.01342,-0.01673,-0.22073,0.02502,4.33128,4.17343,0.15786
2.6000,2.70866,-3.33033,0.11889,2.62997,-3.22047,0.02954,0.07869,-0.10985,0.08935,4.29442,4.15801,0.13641
2.7000,2.72551,-3.36745,0.09801,2.69787,-3.16077,0.03797,0.02764,-0.20669,0.06004,4.33333,4.15577,0.17756
2.8000,2.79882,-3.45913,0.09756,2.73393,-3.20635,0.06111,0.06489,-0.25278,0.03645,4.45068,4.21412,0.23656
2.9000,2.83543,-3.29129,0.05555,2.79905,-3.16933,0.06531,0.03638,-0.12195,-0.00976,4.34457,4.22890,0.11567
3.0000,2.91713,-3.36416,0.04153,2.87489,-3.17488,0.04926,0.04224,-0.18927,-0.00773,4.45297,4.28337,0.16960
3.1000,2.95873,-3.38713,0.03625,2.86221,-3.16952,0.06365,0.09652,-0.21761,-0.02739,4.49757,4.27109,0.22648
3.2000,2.85631,-3.35554,0.16153,2.90144,-3.15388,0.05887,-0.04514,-0.20167,0.10266,4.40956,4.28588,0.12368
3.3000,2.99604,-3.30926,0.10908,3.01052,-3.13581,0.08005,-0.01448,-0.17345,0.02903,4.46535,4.34775,0.11760
3.4000,2.94979,-3.46622,0.15049,2.87329,-3.19485,0.12737,0.07651,-0.27136,0.02311,4.55396,4.29873,0.25523
3.5000,2.85826,-3.49394,0.20568,2.82294,-3.23896,0.15602,0.03532,-0.25497,0.04967,4.51880,4.29932,0.21947
3.5999,2.95712,-3.51100,0.15222,2.91948,-3.30597,0.18130,0.03765,-0.20503,-0.02908,4.59291,4.41425,0.17866
3.6999,2.97739,-3.44506,0.10930,2.89287,-3.23859,0.10616,0.08451,-0.20647,0.00314,4.55469,4.34378,0.21091
3.7999,2.88656,-3.53936,0.14989,2.88313,-3.32893,0.08793,0.00342,-0.21043,0.06196,4.56965,4.40477,0.16489
3.8999,3.02910,-3.57660,0.09445,2.93710,-3.33438,0.06036,0.09200,-0.24222,0.03409,4.68790,4.44391,0.24399
3.9999,3.03737,-3.49907,0.03771,3.00475,-3.30004,0.05388,0.03262,-0.19903,-0.01617,4.63363,4.46337,0.17026
4.0999,3.00338,-3.62660,0.04620,2.92977,-3.39426,0.10331,0.07361,-0.23235,-0.05711,4.70900,4.48500,0.22400
4.1999,2.90484,-3.60690,0.18746,2.86387,-3.40652,0.13442,0.04097,-0.20039,0.05304,4.63498,4.45244,0.18254
4.2999,2.93158,-3.59824,0.08575,2.94420,-3.41549,0.05047,-0.01261,-0.18275,0.03528,4.64208,4.50959,0.13249
4.3999,2.97685,-3.57352,0.07167,2.97875,-3.35622,0.05745,-0.00190,-0.21731,0.01422,4.65154,4.48781,0.16373
4.4999,2.95307,-3.53084,0.12427,2.95207,-3.32259,0.09481,0.00100,-0.20825,0.02946,4.60467,4.44560,0.15907
4.5999,2.96106,-3.61385,0.05565,2.95276,-3.48325,0.09884,0.00830,-0.13060,-0.04319,4.67236,4.56745,0.10491
4.6999,3.02051,-3.57713,0.01620,2.98563,-3.35719,0.03565,0.03488,-0.21994,-0.01945,4.68184,4.49287,0.18896
4.7999,3.09743,-3.69403,0.02304,3.01219,-3.40871,0.03499,0.08523,-0.28532,-0.01195,4.82083,4.54904,0.27179
4.8999,3.02611,-3.58661,0.06672,2.98738,-3.37609,0.06372,0.03873,-0.21052,0.00300,4.69314,4.50849,0.18465
4.9999,2.96750,-3.50961,0.06923,3.01087,-3.35702,0.02334,-0.04336,-0.15259,0.04589,4.59654,4.50948,0.08706
5.0999,3.07431,-3.57501,0.02764,3.04544,-3.37282,0.04947,0.02887,-0.20219,-0.02183,4.71517,4.54456,0.17061
5.1999,3.02683,-3.59688,0.13183,3.02448,-3.37847,0.12008,0.00234,-0.21841,0.01175,4.70283,4.53608,0.16675
5.2999,3.05140,-3.55642,0.12043,3.03191,-3.32663,0.11268,0.01950,-0.22979,0.00775,4.68761,4.50240,0.18521
5.3999,3.10842,-3.55986,0.03424,3.05537,-3.35022,0.04374,0.05305,-0.20963,-0.00950,4.72610,4.53445,0.19165
5.4999,3.08774,-3.57529,0.05686,3.05132,-3.36120,0.04011,0.03642,-0.21409,0.01675,4.72441,4.53980,0.18461
5.5999,3.12127,-3.57171,0.05008,3.05088,-3.41870,0.09576,0.07039,-0.15302,-0.04568,4.74362,4.58307,0.16055
5.6999,3.10411,-3.46461,0.05535,3.08389,-3.33856,0.10795,0.02022,-0.12604,-0.05260,4.65210,4.54621,0.10589
5.7999,3.14113,-3.57956,0.10502,3.08823,-3.35605,0.10095,0.05291,-0.22351,0.00407,4.76350,4.56184,0.20167
5.8999,3.12807,-3.57682,0.04342,3.07566,-3.39375,0.08487,0.05240,-0.18307,-0.04145,4.75188,4.58088,0.17100
