sequence,axis,n,bias_mean,variance,std,rmse,mae,min,max
Turnpike,vx (X),214,0.01164,0.015157,0.12311,0.12366,0.09061,-0.82121,0.23714
Turnpike,vy (Y),214,-0.02872,0.034092,0.18464,0.18686,0.14778,-0.50368,0.96290
Turnpike,vz (Z),214,0.00576,0.011037,0.10506,0.10521,0.06715,-0.36957,0.79655
Turnpike,speed,214,0.12742,0.015325,0.12380,0.17765,0.14698,-0.47760,0.91204
Gupta,vx (X),689,-0.14665,0.276841,0.52616,0.54621,0.35958,-1.70403,2.76753
Gupta,vy (Y),689,-0.00945,0.345955,0.58818,0.58826,0.27023,-1.90771,4.84331
Gupta,vz (Z),689,0.02790,0.052207,0.22849,0.23019,0.13252,-1.26046,1.16018
Gupta,speed,689,0.12907,0.261507,0.51138,0.52741,0.34333,-2.80314,1.56259
